Statement,Category
I love learning about space.,2
I don’t think that’s a good idea.,-1
Okay.,0
I'm so ready for this test!,3
Oh my gosh!,-4
I enjoy doing this homework.,2
I love this class!,4
I'm so ready for this test!,3
That’s fine.,0
I really like this project.,2
"Hmm, I don’t know.",-1
"Ugh, not again.",-2
I failed my test.,-3
That was shocking!,-4
This topic is so interesting!,2
That was amazing!,4
This is crazy!,-4
Okay.,0
Yay! We won the competition!,4
Not really feeling it.,-1
Let's do this!,1
Okay.,0
I really like this project.,2
I see.,0
Perfect!,3
This is so disappointing.,-3
I don’t think that’s a good idea.,-1
That was shocking!,-4
"Ew, that’s disgusting!",-5
Fantastic!,1
This is crazy!,-4
This topic is so interesting!,2
I feel like throwing up.,-5
I don’t think that’s a good idea.,-1
This is exactly what I wanted!,3
Perfect!,3
So cool!,1
I failed my test.,-3
This is the best day ever!,4
That makes me sick.,-5
This topic is so interesting!,2
What just happened?!,-4
I don’t think that’s a good idea.,-1
"Ugh, not again.",-2
"Wow, this is awesome!",3
This is exactly what I wanted!,3
Understood.,0
I really like this project.,2
This is terrible.,-2
Understood.,0
Wonderful news!,1
What just happened?!,-4
Not really feeling it.,-1
Yay! We won the competition!,4
"Ugh, not again.",-2
"Wow, this is awesome!",3
"Ugh, not again.",-2
I feel like throwing up.,-5
I love this class!,4
I'm so ready for this test!,3
This is exactly what I wanted!,3
I feel really down today.,-3
I enjoy doing this homework.,2
I really don’t like this.,-2
That’s fine.,0
Yay! We won the competition!,4
Yes! I totally agree!,3
Yay! We won the competition!,4
This topic is so interesting!,2
That was shocking!,-4
This is so disappointing.,-3
That’s great!,1
I see.,0
I love this class!,4
This topic is so interesting!,2
I didn’t expect that!,-4
I feel really down today.,-3
Understood.,0
"Hmm, I don’t know.",-1
I didn’t expect that!,-4
Meh.,-1
That was amazing!,4
Understood.,0
This is terrible.,-2
I love learning about space.,2
That was amazing!,4
Not really feeling it.,-1
That was shocking!,-4
Understood.,0
"Ew, that’s disgusting!",-5
I hate this.,-2
Nobody talks to me.,-3
This is the worst thing ever!,-5
"Wow, this is awesome!",3
I can’t stand this.,-5
